[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
5.84611e-05 765120 9.28459 4.24282
5.36991e-05 765276 9.08061 4.49901
5.17403e-05 757002 8.89622 4.40046
5.45267e-05 765370 8.8691 3.40209
5.66905e-05 728105 8.52564 3.32606
5.76556e-05 739272 8.78767 3.58111
5.69528e-05 721220 8.35541 3.13636
5.52916e-05 713082 8.31753 3.01394
5.55534e-05 696796 7.93259 3.1012
5.59245e-05 717976 8.39374 3.31668
5.39425e-05 714903 8.57167 3.68061
5.01245e-05 730753 8.47837 3.74443
5.69921e-05 708871 8.09297 3.6734
5.29795e-05 688545 8.04409 3.99484
5.23953e-05 687666 8.16313 4.33754
5.54229e-05 662734 7.77304 3.90586
5.05875e-05 661644 7.72313 4.01133
4.93366e-05 656014 7.71363 4.2347
5.10632e-05 639057 7.74008 3.83031
6.58227e-05 626442 7.95227 3.513
5.95292e-05 678105 8.50601 3.56518
5.91382e-05 689536 8.37444 3.55916
6.16492e-05 686147 8.41251 3.55397
5.97082e-05 696230 8.39165 3.36256
5.65111e-05 720020 8.40515 3.47928
5.68531e-05 728530 8.93654 3.94515
6.09585e-05 734226 8.86986 3.90745
6.01025e-05 727333 8.58334 3.29717
5.82949e-05 710213 8.1184 2.78376
5.60761e-05 691851 7.89124 2.87463
5.07334e-05 707369 8.16315 2.88456
5.80746e-05 714868 8.55322 3.52519
5.6739e-05 753808 8.6929 3.58225
5.06615e-05 726102 8.52821 3.58095
5.38817e-05 749058 8.647 3.51978
5.52913e-05 751389 8.85754 3.56401
5.72109e-05 678153 8.26436 3.26779
5.80802e-05 671794 7.87349 2.89846
6.03541e-05 683903 8.3213 3.54419
6.10844e-05 660498 8.51694 3.5648
6.80275e-05 657355 8.43904 3.37824
6.14211e-05 660115 8.29147 2.50703
6.74256e-05 665556 8.71772 3.01661
6.76752e-05 664225 8.50531 2.84775
6.20911e-05 664268 8.69192 3.06527
5.71105e-05 645809 8.40777 2.71102
6.69438e-05 639815 8.7969 2.69294
6.64902e-05 624120 8.57289 2.73922
6.80066e-05 605912 8.40565 2.59459
5.91285e-05 597995 7.9717 2.59612
6.57776e-05 620681 8.17172 2.7459
6.47625e-05 653951 8.35686 2.99535
6.31026e-05 642829 8.2103 3.15966
5.95506e-05 651362 8.59332 3.32732
6.67514e-05 627030 7.94529 2.65777
6.80308e-05 626741 8.4913 2.84565
6.56022e-05 635938 8.81476 3.02122
6.24134e-05 668069 8.92328 3.58702
6.26323e-05 661912 8.56811 3.30059
5.79876e-05 642853 8.37101 3.29011
6.31315e-05 646943 8.24045 2.8432
5.69192e-05 648282 8.0193 2.30999
5.93732e-05 636414 7.98415 2.20187
6.02973e-05 623188 8.04641 2.83098
5.99921e-05 620614 8.37992 3.56609
6.02881e-05 629354 8.43782 3.73416
5.92726e-05 636435 8.47592 3.54891
5.55331e-05 625053 8.44653 3.21117
6.78959e-05 612452 8.12282 3.55263
5.64264e-05 630399 8.17708 3.37846
5.64204e-05 629918 7.91773 3.02675
6.01903e-05 656443 8.12602 2.88209
6.25629e-05 632011 7.97043 2.41077
6.04325e-05 583199 7.70119 2.3862
6.38375e-05 599912 7.94604 2.71093
6.63323e-05 609157 8.30593 3.26059
5.81088e-05 593017 7.83869 2.81119
6.25697e-05 561875 8.34768 3.32264
7.2945e-05 591048 8.72426 3.58006
6.75362e-05 589972 8.71805 3.77486
6.73842e-05 565111 8.23942 3.18634
6.76196e-05 593858 8.99265 3.65194
6.86176e-05 588644 9.2201 3.93769
7.04278e-05 545566 8.57983 3.06837
7.58449e-05 567470 9.31408 3.97172
8.12264e-05 542777 9.38767 4.28169
8.22582e-05 566213 8.98724 3.45107
7.31282e-05 565232 8.85054 3.94708
7.6714e-05 535547 8.36948 3.79129
7.70825e-05 593554 9.10116 4.02237
7.09699e-05 589915 9.18108 3.73557
8.38285e-05 559094 9.21237 3.72871
9.04634e-05 541437 9.26123 3.84073
7.93239e-05 527573 9.0953 3.43877
9.33261e-05 481688 8.52976 3.50234
9.26073e-05 490511 9.48297 4.05571
9.50502e-05 498590 9.2076 4.00232
8.47391e-05 503344 8.89367 4.03382
8.32261e-05 528282 8.52477 3.53379
8.71619e-05 501497 8.55619 3.67478
8.69355e-05 511214 8.83697 4.20293
8.46003e-05 495495 8.63072 3.97482
8.34224e-05 487613 7.89389 2.82761
8.16634e-05 484411 8.12761 3.03844
8.18807e-05 489123 8.06565 2.88714
8.30281e-05 530911 8.21821 2.7941
7.45298e-05 537893 7.96623 2.94227
8.06324e-05 549276 8.46207 2.80305
8.24685e-05 567810 8.41713 2.3701
7.7493e-05 542637 8.191 3.41797
7.37659e-05 533305 8.22203 3.33375
7.17829e-05 539169 7.8717 3.25175
7.21853e-05 533399 7.85876 3.05791
7.29151e-05 537244 8.05258 3.0218
7.95126e-05 533668 8.25789 3.49389
8.35816e-05 494617 8.07287 3.04341
6.75455e-05 514701 7.93202 3.00296
6.86848e-05 540389 8.25629 3.03415
7.1676e-05 546195 8.27721 2.9973
7.62771e-05 520849 8.13971 2.96039
8.33744e-05 538829 8.30577 2.85915
6.94641e-05 559038 8.43377 3.37756
7.50922e-05 555021 8.60053 3.63644
7.41567e-05 576526 8.12827 3.31353
7.27212e-05 618555 9.0371 4.31692
6.04658e-05 579684 8.38127 3.82594
6.90724e-05 585396 8.95377 4.42271
7.04838e-05 621791 9.02963 4.03241
6.46479e-05 624252 9.00354 3.85734
6.29133e-05 640848 9.07498 3.79556
6.74521e-05 652235 9.2245 3.57709
6.5542e-05 624190 8.87237 2.83135
6.69121e-05 612544 8.82048 3.35887
7.38447e-05 610866 8.87756 3.11249
7.34261e-05 607702 8.99379 3.34188
7.10249e-05 611552 9.38025 4.18773
7.66998e-05 557947 8.6346 3.95026
7.59021e-05 571245 8.49596 3.12895
7.78152e-05 553350 8.59305 3.06902
7.34663e-05 571694 8.53912 2.69542
7.85015e-05 545491 8.42798 2.55723
7.27199e-05 529476 8.51707 3.15302
8.37429e-05 497577 8.45737 3.04536
8.3781e-05 520900 8.81091 3.14852
9.02224e-05 510650 8.97223 3.55095
7.73133e-05 545064 9.07108 3.31432
7.90813e-05 549021 8.56264 3.01584
7.13773e-05 543473 8.12428 2.9129
8.53285e-05 536345 8.1041 2.95074
7.18164e-05 536630 8.31602 3.23178
6.97432e-05 561191 8.41125 3.06592
7.72186e-05 548919 8.67778 3.30727
7.98076e-05 536031 8.47662 3.32847
8.18068e-05 541870 8.50414 3.48867
7.52045e-05 558458 8.92842 3.98463
7.32143e-05 565842 8.92203 3.94623
7.94061e-05 568323 9.25532 3.73241
8.01151e-05 565848 9.03744 3.72127
8.58499e-05 563250 8.82591 3.4038
7.40667e-05 531975 8.17657 2.89432
6.97096e-05 546676 8.20939 2.74916
7.21061e-05 535439 7.60826 2.28532
7.11322e-05 541960 7.90328 2.49702
6.81881e-05 586544 8.22667 2.83433
6.92634e-05 556516 8.14783 2.88334
6.46627e-05 591966 8.67503 2.87067
7.49069e-05 598554 8.68314 3.64318
6.91828e-05 601122 8.71518 3.6636
7.17599e-05 605326 8.70476 3.65751
6.29895e-05 595733 8.64513 3.2401
7.74298e-05 600343 8.63105 3.2364
6.55431e-05 619282 8.45175 3.18204
6.90179e-05 628593 8.53682 3.05934
6.20048e-05 628437 8.3269 2.89345
6.50207e-05 643093 8.6511 3.31536
6.85225e-05 644119 8.76462 3.37226
6.13997e-05 630022 8.57004 3.19471
6.0552e-05 639208 8.67166 3.53182
6.67174e-05 645422 8.80119 3.60926
6.44115e-05 625463 8.55773 3.26888
6.23833e-05 648597 8.48964 3.36195
6.34242e-05 641801 8.41874 2.99663
6.10289e-05 636217 8.82013 3.45548
6.93996e-05 627926 8.6011 3.19236
6.95372e-05 648656 8.73762 2.9473
6.47144e-05 617258 8.37828 3.01489
6.21638e-05 628323 8.73141 3.70834
5.48062e-05 618082 8.10634 2.84169
7.17888e-05 641120 8.67762 3.67434
5.97955e-05 639973 8.44664 3.6018
6.27577e-05 629877 8.65401 3.72213
5.76319e-05 639195 8.39177 3.5588
6.05721e-05 623903 8.06491 3.41132
6.70955e-05 651445 8.26325 3.20665
5.77701e-05 669932 8.52117 3.12247
5.78418e-05 658769 8.08458 2.96761
5.97005e-05 697945 8.46846 3.05032
6.19688e-05 704877 8.48604 3.43621
6.08092e-05 738336 8.27172 2.65004
4.78852e-05 742298 8.18877 2.75174
5.67962e-05 776655 8.91245 3.29462
5.68633e-05 790894 9.03147 3.74686
5.67009e-05 807421 9.31523 3.75044
5.36161e-05 800371 9.36273 3.80651
5.05745e-05 814426 8.88868 3.4879
5.40998e-05 838589 9.06658 3.84598
5.17909e-05 823378 8.7836 3.85772
5.6561e-05 824171 8.80598 3.65821
5.14455e-05 829422 8.87473 3.7657
4.94916e-05 836323 8.84155 4.01365
4.38569e-05 856754 8.76572 3.79406
4.56458e-05 851302 8.52732 3.74042
5.09853e-05 829816 8.34269 3.59563
4.36606e-05 831043 8.31806 3.30832
4.61268e-05 850615 8.49869 3.58443
4.1658e-05 846883 8.24997 3.22055
4.04017e-05 825577 8.09724 3.44583
4.7375e-05 831580 8.29138 3.52916
4.98544e-05 808412 8.3892 3.27914
4.38345e-05 810081 8.0666 3.09011
5.16356e-05 813278 8.89908 3.67622
4.92556e-05 781113 8.27796 3.18541
5.2378e-05 762139 8.52944 3.38267
4.5211e-05 769012 8.24311 3.36274
5.59739e-05 772297 8.19778 3.20023
4.99935e-05 779918 8.04769 3.04659
4.60859e-05 814726 8.45631 2.91305
4.64147e-05 816698 8.51215 3.17574
5.10558e-05 830339 8.63608 3.26476
5.26995e-05 814295 8.01095 2.89705
4.44829e-05 800846 7.83926 2.89351
4.3086e-05 811859 8.11071 3.12105
4.66289e-05 795555 8.59363 3.84442
5.08556e-05 790384 8.19928 3.49989
4.55391e-05 795721 8.41434 4.29868
4.72923e-05 827170 9.068 4.56543
5.23131e-05 866119 9.52597 4.57265
5.52771e-05 892622 10.0238 4.61793
4.60406e-05 879496 9.09229 3.96816
4.36531e-05 863054 8.45933 2.94186
4.25212e-05 840927 8.14183 2.72943
5.03569e-05 843017 8.50843 2.99213
4.50872e-05 863060 8.81375 3.48684
4.81104e-05 830625 8.7238 3.36706
5.49727e-05 844480 8.78644 3.45191
4.50414e-05 836529 8.42428 3.49738
4.97574e-05 843824 8.62719 3.74333
4.7449e-05 825855 8.38015 3.40221
4.87625e-05 837885 8.40368 3.38607
5.03296e-05 845744 8.4852 3.47618
4.99739e-05 841440 8.45337 3.39825
4.83208e-05 849595 9.14281 4.16665
4.53268e-05 865704 9.17808 4.01684
4.97227e-05 853955 8.92719 3.96428
4.88353e-05 857557 8.28378 3.16853
4.56797e-05 852029 8.22367 3.0122
4.79206e-05 830374 8.36071 4.04083
4.88184e-05 831418 8.39316 4.13536
5.06906e-05 814351 7.98387 3.4805
4.30221e-05 811124 8.26629 3.62655
4.96209e-05 798554 8.254 3.87787
4.17857e-05 806169 7.81656 3.14223
4.35308e-05 830477 8.0756 2.85867
4.25129e-05 837343 7.83308 2.65426
4.75616e-05 866516 8.33473 3.06919
4.498e-05 884193 8.35816 3.10621
4.58148e-05 868755 8.02624 3.02244
4.6126e-05 884326 8.77711 3.16015
4.13161e-05 869099 8.22898 2.95521
4.19994e-05 864578 7.84801 2.71584
4.76392e-05 882670 8.21815 2.75445
4.60507e-05 877818 7.85452 2.56206
4.46703e-05 857703 8.52568 3.31094
5.14551e-05 862975 9.26551 3.94189
4.97269e-05 855242 8.54439 3.52215
4.21578e-05 849454 8.45682 3.87629
4.85514e-05 839017 8.19293 3.7746
4.21311e-05 852653 8.42198 3.51938
5.2334e-05 855423 9.22297 4.28553
5.31623e-05 836505 9.12688 4.43651
4.54486e-05 818195 8.45732 4.23722
4.32825e-05 835297 8.40372 3.75889
4.79448e-05 829548 8.28564 3.58836
4.6267e-05 828537 8.32774 3.20019
4.67585e-05 830500 8.48597 3.33021
5.63243e-05 842260 8.67997 3.25824
4.90342e-05 822888 8.34831 3.07008
5.01546e-05 774575 8.31784 3.06657
4.86408e-05 773547 7.98287 2.74434
4.59696e-05 803506 8.08081 2.25682
5.18349e-05 801961 8.38364 2.73051
5.09017e-05 756677 7.92971 2.49805
5.44079e-05 747756 8.57544 3.33718
5.75951e-05 758916 9.0182 3.62793
5.28382e-05 715514 8.07453 3.01842
5.41735e-05 727073 8.13262 3.19371
4.9037e-05 716437 7.94928 3.22037
4.95087e-05 702732 8.25071 3.49298
5.87044e-05 709798 8.63844 3.85856
5.75643e-05 699206 8.66314 3.39004
5.74011e-05 696813 8.73014 3.2847
6.16826e-05 682417 8.49641 2.91196
5.18446e-05 633597 8.00675 2.77676
6.02028e-05 679126 8.17168 2.97185
5.42481e-05 675629 8.33886 3.45625
5.84518e-05 670709 8.70195 3.56454
6.13661e-05 665540 8.34785 3.02594
7.28964e-05 699356 8.9851 3.75902
6.18948e-05 708283 8.85505 3.26242
5.79054e-05 716922 8.57003 2.95944
5.81218e-05 678692 8.60963 3.3151
6.06193e-05 686479 8.19106 3.10293
6.1201e-05 699500 8.46979 3.35327
5.0579e-05 712137 8.43053 2.88444
5.96822e-05 709067 8.57686 2.99312
5.66609e-05 682748 8.56307 3.12199
6.79343e-05 690933 8.71076 3.58258
5.15902e-05 694248 8.47588 3.77892
5.89711e-05 677046 8.24099 3.0508
5.30028e-05 661933 8.17636 2.70924
5.55629e-05 648892 7.9348 2.58446
6.09161e-05 673640 8.12262 2.4796
5.80866e-05 675213 8.11718 2.3879
6.30207e-05 650636 8.54802 3.11691
6.56126e-05 654037 8.14255 3.17399
5.69864e-05 681755 8.80262 3.41883
6.08366e-05 705435 9.09323 3.9207
5.92317e-05 712335 8.92345 3.56508
6.01142e-05 705572 8.66913 3.55747
4.63177e-05 680827 7.48144 2.88456
5.2012e-05 693340 7.61724 2.97246
5.24775e-05 729084 8.43631 3.46662
5.42038e-05 713290 8.40522 3.52732
5.39738e-05 717270 8.52213 3.24194
5.62579e-05 748886 9.4714 3.98899
5.91344e-05 762864 9.00603 4.17063
5.50726e-05 784339 8.56004 3.67596
5.10322e-05 819432 8.63544 3.41283
4.94106e-05 808000 8.65263 3.18348
4.92951e-05 811762 8.57286 2.80047
5.11165e-05 816839 8.7839 3.09365
4.99737e-05 824744 8.98093 3.27803
4.96206e-05 832765 9.08321 3.67932
5.03037e-05 804727 8.61817 3.17083
4.90823e-05 801495 8.68394 3.29295
5.21546e-05 788537 8.41974 3.36899
5.14923e-05 794617 8.37153 2.9282
4.63068e-05 800043 8.0075 2.88358
4.83452e-05 781556 7.94462 3.20331
4.38249e-05 777880 7.98998 3.4706
4.78485e-05 797351 8.45462 3.46747
4.99363e-05 804427 8.62471 3.30984
5.13954e-05 808125 8.56967 3.69666
4.82023e-05 805185 8.63097 4.08824
4.75132e-05 803785 8.39249 4.31408
4.51227e-05 811483 8.51495 3.83584
4.51113e-05 808456 8.12218 3.50241
5.09025e-05 842048 8.83319 3.70496
4.60211e-05 841054 8.88053 3.85998
4.93801e-05 830892 8.73947 3.28122
5.62326e-05 831527 8.64475 3.03693
4.85533e-05 794401 8.55565 3.34166
4.43436e-05 778794 7.93812 3.14729
4.81475e-05 790982 8.21545 3.04024
4.72902e-05 791152 8.43347 4.08714
5.30792e-05 781066 8.43651 3.65342
5.03967e-05 769883 8.00761 2.3922
4.83813e-05 756982 7.87765 2.49748
5.64005e-05 751603 8.2288 2.7395
5.17511e-05 744316 7.88688 2.8904
4.27465e-05 752253 7.94936 3.11121
5.14204e-05 752438 8.26821 3.35229
5.3793e-05 735512 8.26476 3.4386
4.21564e-05 762218 8.4405 3.48103
5.401e-05 768420 8.69983 3.58053
