SPM (Spatial Population Model)
Call: ..\..\Build\windows\spm -m -q -g 0 
Date: Wed Apr 22 15:15:32 2020
v2.0.2-2020-04-21 (rev. 2020-04-21 11:34:49 UTC). Copyright (c) 2008-2020, NIWA
User name: alist
Machine name: HP1040 (Windows_NT, PID=7088)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.4961e-09 -2.82829 6.40937e-06 3.33788e-06
-2.82829 5.83449e+09 -6405.03 -3098.06
6.40937e-06 -6405.03 0.211802 0.158556
3.33788e-06 -3098.06 0.158556 0.24515
Proposal distribution covariance matrix:
1e-06 -61.1071 0.000165705 8.62958e-05
-73.1213 5.83449e+09 -6405.03 -3098.06
0.000165705 -6405.03 0.211802 0.158556
8.62958e-05 -3098.06 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.0862958 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
67000 281.55 0 0 327.267 0.22606 0.195588 0.045697
67500 279.937 0 0 369.817 0.225956 0.196057 0.045697
68000 280.36 0 0 349.465 0.225735 0.196056 0.045697
68500 280.75 0 0 285.787 0.225708 0.196757 0.045697
69000 280.088 0 0 280.088 0.22587 0.198105 0.045697
69500 281.226 0 0 281.226 0.225727 0.198308 0.045697
70000 280.733 0 0 280.733 0.2258 0.19925 0.045697
70500 281.08 0 0 288.745 0.225674 0.199463 0.045697
71000 279.551 0 0 281.455 0.225775 0.200429 0.045697
71500 280.06 0 0 284.308 0.225804 0.201116 0.045697
72000 279.991 0 0 760.397 0.225778 0.201591 0.045697
72500 280.433 0 0 280.433 0.225697 0.201867 0.045697
73000 283.966 0 0 378.993 0.225534 0.20187 0.045697
73500 279.894 0 0 279.894 0.225279 0.201574 0.045697
74000 283.098 0 0 292.311 0.225324 0.202208 0.045697
74500 282.108 0 0 513.945 0.225289 0.202571 0.045697
75000 280.397 0 0 280.397 0.225187 0.20272 0.045697
75500 281.419 0 0 314.505 0.225205 0.203216 0.045697
76000 279.716 0 0 290.442 0.225132 0.203423 0.045697
76500 279.625 0 0 296.545 0.225072 0.20366 0.045697
77000 280.568 0 0 334.093 0.225091 0.204111 0.045697
77500 280.648 0 0 298.366 0.224916 0.204 0.045697
78000 280.298 0 0 289.186 0.224795 0.204036 0.045697
78500 280.649 0 0 290.528 0.224854 0.204561 0.045697
79000 281.118 0 0 297.698 0.224835 0.204862 0.045697
79500 281.404 0 0 360.613 0.22473 0.204915 0.045697
