[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
6.50177e-05 649869 8.99996 3.51288
9.28547e-05 455283 8.41509 3.66222
0.000120521 391234 9.03877 3.74132
0.000119331 413804 9.09734 3.48601
9.52249e-05 499784 9.10419 3.49234
0.000146809 330351 9.27328 3.46201
0.000126476 357641 8.98008 3.58134
0.000126766 352639 8.09283 3.052
5.36445e-05 700209 8.0958 3.57166
0.00012069 367497 8.70603 2.72081
9.35818e-05 474540 8.52348 3.33297
0.000131554 368778 8.82616 3.42652
0.000132431 321932 8.12945 3.04383
9.55631e-05 450542 8.42389 3.32745
0.000109251 450334 8.8673 3.01628
0.000128901 360394 8.18012 2.66076
0.000119006 407430 8.5979 3.55586
9.02638e-05 481107 8.5821 3.42003
0.000108123 382492 8.51638 3.54142
4.72084e-05 822654 8.32267 3.14786
0.000116987 405004 8.90184 3.26673
0.000130846 347095 8.15855 3.07707
0.00010075 409943 8.34476 2.51822
0.000168468 284588 8.93439 3.8864
0.000151316 308716 8.60766 3.03664
0.00010149 396057 7.65241 2.9992
7.82336e-05 515526 7.64428 2.75432
0.000151746 316743 8.75043 3.19673
0.000122673 372214 8.18248 3.4235
0.000155338 302383 8.59827 2.80302
0.000167381 340217 9.24099 3.91751
8.56873e-05 541448 8.81336 3.73464
9.82593e-05 457387 9.51848 4.27457
9.76503e-05 427960 8.29025 3.45019
8.17229e-05 526156 8.45413 3.42277
2.89228e-05 1.31362e+06 8.05697 3.24284
3.23109e-05 1.08779e+06 8.54032 2.96489
0.000119071 408519 8.27266 2.9761
7.50257e-05 554084 8.52832 3.00212
0.000106325 408020 8.35981 3.14312
7.98314e-05 453056 8.31327 2.9759
0.000163665 308045 8.64981 3.11835
0.000114423 398793 8.5247 3.07187
0.000131885 350692 8.49773 3.32002
0.00010134 455946 8.93498 3.4024
7.23273e-05 552347 8.73253 3.77118
0.000100663 431949 8.52071 3.75438
0.000100601 433103 8.18329 3.20852
7.83215e-05 495111 8.21856 3.30029
0.000138219 357677 9.09828 3.6343
4.9259e-05 793086 7.89071 2.91777
