[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000184175 288619 9.46855 3.94168
0.000154637 314857 9.05408 3.18372
0.000149855 297336 8.80233 3.90161
8.67066e-05 492147 8.35336 3.32367
0.000124367 363746 8.49112 3.55984
0.000111966 393206 8.35832 3.32173
8.90408e-05 479880 8.82155 3.35774
0.00011924 367262 8.45231 3.80809
9.50181e-05 466645 8.79373 4.48505
0.000166925 324649 9.23099 3.00193
0.000223382 273085 9.14565 3.75769
0.000198051 262291 9.23394 3.98112
6.57114e-05 635244 8.3851 2.64819
6.99959e-05 476552 7.99317 3.80431
0.000114418 402500 8.34168 3.61763
4.39416e-05 931030 8.78683 2.92501
6.58142e-05 613673 7.93596 2.46611
0.000174538 294334 9.80127 4.63222
0.00017573 297348 9.25496 4.45876
0.000148976 308971 9.06174 4.2592
0.000154042 312624 8.94759 3.30064
9.92006e-05 495900 9.07657 3.09508
0.000174107 318880 9.20366 4.27654
0.000186785 305678 9.6208 4.0162
0.000173965 298900 8.95805 3.90946
0.000123236 325588 8.10191 2.55558
0.000153593 344062 9.39329 4.27622
6.26112e-05 580004 7.86454 2.63866
0.000150257 305831 9.8933 4.0571
0.000104619 375578 8.81971 4.14271
8.78319e-05 461018 8.08832 3.03626
0.000150714 291950 8.04109 3.25805
0.000149321 349656 8.95151 4.01754
0.000130142 345338 8.29084 3.04013
7.8564e-05 506400 8.39307 3.41162
0.000157132 304087 8.69942 3.18093
0.000186896 272855 8.75664 3.22902
9.709e-05 496160 8.70775 3.29975
0.00011496 391631 8.83786 3.27033
6.50131e-05 664850 8.76565 3.37958
8.93157e-05 517723 8.84432 3.45648
0.000123896 371441 9.32577 3.34581
3.70614e-05 934246 8.12052 3.38705
0.000143492 334722 8.50482 3.11512
0.000116229 365947 8.06837 2.87495
5.13392e-05 819131 8.80614 3.52535
7.38551e-05 571262 8.2172 3.0358
5.71386e-05 647141 7.48683 2.45881
0.00010579 467790 9.09906 3.04328
7.96681e-05 481642 8.73 3.23468
0.000110349 381042 8.20948 3.11165
9.28666e-05 482337 8.84311 2.99443
0.000132293 350466 8.64212 3.69837
9.51676e-05 448367 7.94731 2.44438
0.000145258 333451 8.71396 3.09266
0.000143014 352124 9.21748 4.00174
0.000110974 407301 8.97309 3.83497
0.000146766 299813 8.11047 3.67616
0.000115685 423027 8.78861 3.45177
0.000139527 317721 8.32207 3.91911
0.000196648 274937 8.8214 3.28704
0.000126421 361608 8.42419 3.52834
0.000139176 334369 9.17198 3.69563
0.000108159 387786 8.84271 3.61103
8.41023e-05 512986 8.03138 2.92148
0.000140858 314407 8.45425 3.22148
0.000145885 334252 9.03949 3.44485
0.000141975 332854 8.01307 2.8579
0.000143578 311146 9.18604 4.05414
0.000207174 286758 9.56 4.37068
0.000189659 256013 8.59194 3.45248
0.00017021 276402 8.28363 3.54606
0.000149203 324852 8.43754 2.84589
0.00016741 274346 8.74183 3.57916
0.000192207 265293 8.53505 3.30958
0.00013245 323886 7.83004 2.6669
8.48268e-05 529433 8.63316 2.65896
0.000141382 386307 9.88868 3.91131
6.55502e-05 575019 8.1155 2.62
0.000176985 282856 9.30153 3.80869
0.000166818 329681 9.45667 3.8591
6.44075e-05 639478 8.43931 2.98309
3.97081e-05 990237 8.36376 3.69621
0.000163388 272638 8.5835 3.23924
0.000140032 342618 8.90638 3.61014
4.09392e-05 1.02908e+06 8.74961 3.91266
0.000122449 367479 8.54588 3.5165
8.68518e-05 513876 8.8846 3.6445
0.000147604 328112 9.15054 3.74014
0.000184466 284903 9.33981 4.32446
0.000196071 289983 8.93403 3.66899
0.000162715 296747 8.88504 3.98582
0.00012137 395235 8.84394 3.57793
0.000147129 318341 9.27539 4.32117
0.00010989 437816 8.57485 3.36046
0.000128581 340599 8.69992 3.87775
0.000119915 381715 8.94594 3.55949
0.000123172 384259 8.83323 3.90777
6.85055e-05 554522 8.96835 4.12929
9.1511e-05 441020 8.36288 3.36998
