SPM (Spatial Population Model)
Call: ..\..\Build\windows\spm -p -q -g 0 -o profile.dat 
Date: Wed Apr 22 15:16:31 2020
v2.0.2-2020-04-21 (rev. 2020-04-21 11:34:49 UTC). Copyright (c) 2008-2020, NIWA
User name: alist
Machine name: HP1040 (Windows_NT, PID=6968)

[mature-2002]
report.type: observation
label: mature-2002
type: proportions_by_category
year: 2002
time_step: one
min_age: 1
max_age: 30
age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r2-c6 29 0.906131 0.851914 0.0542171 0.156413 0 0.156413 0.0476798
r2-c6 30 0.358744 1 -0.641256 0.169442 0 0.169442 2.81772
r3-c5 1 0 0 0 0 0 0 -0
r3-c5 2 0 0 0 0 0 0 -0
r3-c5 3 0 0 0 0 0 0 -0
r3-c5 4 0 0 0 0 0 0 -0
r3-c5 5 0 0.0779569 -0.0779569 0 0 0 -0
r3-c5 6 0 0.063784 -0.063784 0 0 0 -0
r3-c5 7 0 0.0663018 -0.0663018 0.00890669 0 0.00890669 0.000611016
r3-c5 8 0 0.0802902 -0.0802902 0.873439 0 0.873439 0.0731043
r3-c5 9 0.468095 0.0994153 0.36868 0.42942 0 0.42942 0.430172
r3-c5 10 0.533314 0.122839 0.410476 0.308082 0 0.308082 0.331564
r3-c5 11 0.426382 0.150786 0.275596 0.985585 0 0.985585 0.656385
r3-c5 12 0.30213 0.183623 0.118507 0.629862 0 0.629862 0.3164
r3-c5 13 0.442316 0.221625 0.220691 1.42816 0 1.42816 0.735671
r3-c5 14 0.586109 0.264831 0.321278 2.21837 0 2.21837 1.22811
r3-c5 15 0.70874 0.312928 0.395812 1.07371 0 1.07371 0.776704
r3-c5 16 0.630419 0.365195 0.265224 1.53591 0 1.53591 0.793763
r3-c5 17 0.7464 0.420577 0.325823 1.92721 0 1.92721 1.0068
r3-c5 18 0.902785 0.477819 0.424965 0.811391 0 0.811391 0.530806
r3-c5 19 0.981391 0.535579 0.445812 0.250295 0 0.250295 0.15535
r3-c5 20 0.758801 0.592506 0.166295 0.495957 0 0.495957 0.249497
r3-c5 21 0.938846 0.647305 0.291541 0.454979 0 0.454979 0.19991
r3-c5 22 0.884418 0.698818 0.185599 0.598908 0 0.598908 0.230187
r3-c5 23 0.990887 0.746114 0.244773 0.172753 0 0.172753 0.0518976
r3-c5 24 1 0.788555 0.211445 0.00452398 0 0.00452398 0.00107469
r3-c5 25 1 0.825828 0.174172 0.0122005 0 0.0122005 0.00233479
r3-c5 26 0.847966 0.857924 -0.00995839 0.579531 0 0.579531 0.196439
r3-c5 27 0.818224 0.885082 -0.0668581 0.367972 0 0.367972 0.155184
r3-c5 28 0.928231 0.907716 0.0205158 0.220126 0 0.220126 0.0528372
r3-c5 29 0.951667 0.926336 0.0253314 0.168098 0 0.168098 0.0315231
r3-c5 30 0.779321 1 -0.220679 0.405708 0 0.405708 2.29356
r3-c6 1 0 0 0 0 0 0 -0
r3-c6 2 0 0 0 0 0 0 -0
r3-c6 3 0 0 0 0 0 0 -0
r3-c6 4 0 0 0 0 0 0 -0
r3-c6 5 0 0.0779569 -0.0779569 0 0 0 -0
r3-c6 6 0 0.119738 -0.119738 0 0 0 -0
r3-c6 7 0 0.126047 -0.126047 0 0 0 -0
r3-c6 8 0 0.150561 -0.150561 0.00333314 0 0.00333314 0.000543898
r3-c6 9 1 0.184191 0.815809 0.535918 0 0.535918 0.906657
r3-c6 10 0 0.224548 -0.224548 0.00573995 0 0.00573995 0.00145972
r3-c6 11 0.473868 0.271231 0.202637 0.207904 0 0.207904 0.147745
r3-c6 12 0.990005 0.32395 0.666055 0.229489 0 0.229489 0.256247
r3-c6 13 0.683172 0.382003 0.301169 0.618187 0 0.618187 0.405941
r3-c6 14 0.744142 0.444058 0.300084 1.54448 0 1.54448 0.799366
r3-c6 15 0.757775 0.508149 0.249626 1.09076 0 1.09076 0.541414
r3-c6 16 0.876883 0.571945 0.304938 1.31494 0 1.31494 0.616979
r3-c6 17 0.881144 0.633194 0.247951 1.73138 0 1.73138 0.659324
r3-c6 18 0.89346 0.690103 0.203357 1.95837 0 1.95837 0.625516
r3-c6 19 0.908109 0.741502 0.166607 1.09478 0 1.09478 0.337947
r3-c6 20 0.842314 0.786808 0.0555057 0.699095 0 0.699095 0.239487
r3-c6 21 0.952232 0.825917 0.126315 0.814198 0 0.814198 0.184118
r3-c6 22 0.829058 0.859072 -0.030014 1.13967 0 1.13967 0.353925
r3-c6 23 0.939742 0.886748 0.0529939 1.11856 0 1.11856 0.205783
r3-c6 24 0.788594 0.909547 -0.120953 0.521057 0 0.521057 0.249135
r3-c6 25 0.929236 0.928123 0.00111228 0.687886 0 0.687886 0.140923
r3-c6 26 0.982195 0.943121 0.0390741 0.288998 0 0.288998 0.029376
r3-c6 27 0.869788 0.95514 -0.0853526 0.599923 0 0.599923 0.219025
r3-c6 28 0.959163 0.964714 -0.00555116 0.370115 0 0.370115 0.0562806
r3-c6 29 0.995687 0.972304 0.0233832 0.175447 0 0.175447 0.0074269
r3-c6 30 0.789147 1 -0.210853 0.999907 0 0.999907 5.32368
r4-c5 1 0 0 0 0 0 0 -0
r4-c5 2 0 0 0 0 0 0 -0
r4-c5 3 0 0 0 0 0 0 -0
r4-c5 4 0 0 0 0 0 0 -0
r4-c5 5 0 0.0779569 -0.0779569 0 0 0 -0
r4-c5 6 0 0.26512 -0.26512 0 0 0 -0
r4-c5 7 0 0.300794 -0.300794 0 0 0 -0
r4-c5 8 0 0.351805 -0.351805 0 0 0 -0
r4-c5 9 0 0.411541 -0.411541 0 0 0 -0
r4-c5 10 0 0.47539 -0.47539 0 0 0 -0
r4-c5 11 0 0.540925 -0.540925 0 0 0 -0
r4-c5 12 1 0.605951 0.394049 0.241237 0 0.241237 0.120849
r4-c5 13 1 0.668264 0.331736 0.298279 0 0.298279 0.120228
r4-c5 14 1 0.72581 0.27419 0.929913 0 0.929913 0.298006
r4-c5 15 1 0.777 0.223 0.83249 0 0.83249 0.21005
r4-c5 16 1 0.820974 0.179026 1.45509 0 1.45509 0.287037
r4-c5 17 1 0.857669 0.142331 1.22367 0 1.22367 0.187878
r4-c5 18 1 0.887627 0.112373 0.910495 0 0.910495 0.108535
r4-c5 19 1 0.911709 0.0882907 0.547885 0 0.547885 0.0506432
r4-c5 20 1 0.930866 0.0691343 0.779005 0 0.779005 0.0558081
r4-c5 21 1 0.945992 0.0540076 1.04123 0 1.04123 0.05781
r4-c5 22 1 0.957876 0.0421239 0.94996 0 0.94996 0.0408833
r4-c5 23 1 0.967179 0.0328215 0.459015 0 0.459015 0.0153184
r4-c5 24 1 0.974443 0.0255574 1.12933 0 1.12933 0.029238
r4-c5 25 1 0.980106 0.0198942 1.27677 0 1.27677 0.0256564
r4-c5 26 1 0.984517 0.0154835 0.531241 0 0.531241 0.0082898
r4-c5 27 1 0.98795 0.0120502 0.392094 0 0.392094 0.0047535
r4-c5 28 1 0.990622 0.00937846 0.694444 0 0.694444 0.00654355
r4-c5 29 1 0.9927 0.00729959 0.230917 0 0.230917 0.00169178
r4-c5 30 1 1 0 0.330295 0 0.330295 -0
r4-c6 1 0 0 0 0 0 0 -0
r4-c6 2 0 0 0 0 0 0 -0
r4-c6 3 0 0 0 0 0 0 -0
r4-c6 4 0 0 0 0 0 0 -0
r4-c6 5 0 0.0779569 -0.0779569 0 0 0 -0
r4-c6 6 0 0.271487 -0.271487 0 0 0 -0
r4-c6 7 0 0.3196 -0.3196 0 0 0 -0
r4-c6 8 0 0.374192 -0.374192 0 0 0 -0
r4-c6 9 0 0.435744 -0.435744 0.0413282 0 0.0413282 0.0236499
r4-c6 10 1 0.500543 0.499457 0.285052 0 0.285052 0.197274
r4-c6 11 1 0.566214 0.433786 0.255334 0 0.255334 0.14523
r4-c6 12 1 0.630563 0.369437 0.458394 0 0.458394 0.211385
r4-c6 13 1 0.691449 0.308551 1.48359 0 1.48359 0.547394
r4-c6 14 1 0.746967 0.253033 1.22638 0 1.22638 0.357777
r4-c6 15 1 0.795741 0.204259 0.878357 0 0.878357 0.200689
r4-c6 16 1 0.837149 0.162851 2.11263 0 2.11263 0.375526
r4-c6 17 1 0.87133 0.12867 3.12153 0 3.12153 0.429941
r4-c6 18 1 0.898967 0.101033 3.66994 0 3.66994 0.390882
r4-c6 19 1 0.920996 0.079004 2.83418 0 2.83418 0.233252
r4-c6 20 1 0.93839 0.0616103 1.0896 0 1.0896 0.0692879
r4-c6 21 1 0.952037 0.0479629 3.15488 0 3.15488 0.155067
r4-c6 22 1 0.9627 0.0373002 2.58475 0 2.58475 0.0982558
r4-c6 23 1 0.971008 0.0289923 2.21443 0 2.21443 0.0651505
r4-c6 24 1 0.97747 0.0225305 1.3427 0 1.3427 0.0305976
r4-c6 25 1 0.982491 0.0175093 1.14878 0 1.14878 0.0202925
r4-c6 26 1 0.986391 0.0136092 1.86628 0 1.86628 0.0255731
r4-c6 27 1 0.98942 0.0105802 1.72223 0 1.72223 0.0183186
r4-c6 28 1 0.991773 0.00822737 1.72223 0 1.72223 0.014228
r4-c6 29 1 0.993601 0.0063993 0.907029 0 0.907029 0.00582301
r4-c6 30 1 1 0 0.395057 0 0.395057 -0
r5-c4 1 0 0 0 0 0 0 -0
r5-c4 2 0 0 0 0 0 0 -0
r5-c4 3 0 0 0 0 0 0 -0
r5-c4 4 0 0 0 0 0 0 -0
r5-c4 5 0 0.0779569 -0.0779569 0 0 0 -0
r5-c4 6 0 0.715436 -0.715436 0 0 0 -0
r5-c4 7 0 0.782091 -0.782091 0 0 0 -0
r5-c4 8 0 0.82456 -0.82456 0 0 0 -0
r5-c4 9 0 0.859599 -0.859599 0 0 0 -0
r5-c4 10 0 0.888799 -0.888799 0 0 0 -0
r5-c4 11 0 0.912879 -0.912879 0 0 0 -0
r5-c4 12 1 0.932461 0.0675394 2.5356 0 2.5356 0.17731
r5-c4 13 0 0.948138 -0.948138 0.00978164 0 0.00978164 0.0289455
r5-c4 14 0 0.960476 -0.960476 0.00638569 0 0.00638569 0.0206312
r5-c4 15 0 0.970023 -0.970023 0.010012 0 0.010012 0.0351155
r5-c4 16 0 0.977307 -0.977307 0.00655429 0 0.00655429 0.0248126
r5-c4 17 1 0.982813 0.0171869 1.09188 0 1.09188 0.0189292
r5-c4 18 1 0.986958 0.013042 1.17381 0 1.17381 0.0154095
r5-c4 19 0 0.990078 -0.990078 0 0 0 -0
r5-c4 20 0 0.99243 -0.99243 0.00553689 0 0.00553689 0.0270399
r5-c4 21 1 0.994209 0.00579062 0.866945 0 0.866945 0.00503474
r5-c4 22 0 0.995559 -0.995559 0.00658517 0 0.00658517 0.0356713
r5-c4 23 0 0.996586 -0.996586 0 0 0 -0
r5-c4 24 0 0.99737 -0.99737 0.00553689 0 0.00553689 0.0328943
r5-c4 25 0 0.997971 -0.997971 0 0 0 -0
r5-c4 26 0 0.998431 -0.998431 0 0 0 -0
r5-c4 27 0 0.998786 -0.998786 0 0 0 -0
r5-c4 28 0 0.999059 -0.999059 0 0 0 -0
