[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q preference_function[ImmatureDistance].lambda preference_function[ImmatureDepth].a50 preference_function[ImmatureDepth].ato95 preference_function[ImmatureLatitude].a50 preference_function[ImmatureLatitude].ato95 preference_function[MatureDistance].lambda preference_function[MatureDepth].mu preference_function[MatureDepth].sigma_l preference_function[MatureDepth].sigma_r preference_function[MatureLatitude].a50 preference_function[MatureLatitude].ato95 selectivity[FishingSel].a50 selectivity[FishingSel].ato95 selectivity[Maturation].a50 selectivity[Maturation].ato95 process[BHrecruitment].r0
0.000104928 0.000126875 3840.82 1625.41 71.2913 5.45823 0.00592613 4939.38 2671.15 9962.47 60.267 28.9852 12.129 6.1813 15.0137 10.9809 9.98392e+06
0.000106213 0.00028519 3840.75 1639.87 71.31 5.48843 0.00596251 4947.45 2667.66 9965.86 60.283 29.0789 12.0689 6.1062 15.0107 11.2348 9.97783e+06
0.000106124 0.000445558 3854.02 1656.9 71.2784 5.43863 0.00604302 4964.25 2630.64 9967.88 60.2389 29.0455 12.0539 6.08547 15.0457 11.4022 9.9738e+06
0.000104268 0.000499762 3849.77 1652.64 71.4075 5.60952 0.00593767 4968.68 2638.99 9969.07 60.2792 29.2643 11.9953 6.02873 15.1049 11.42 9.9734e+06
0.000102501 0.000437273 3899.98 1667.4 71.4618 5.60961 0.00590753 4991.62 2635.21 9970.57 60.2805 29.2706 11.9821 6.03813 15.1366 11.4318 9.9714e+06
0.000103415 0.000283233 3943.81 1677.46 71.6398 5.75021 0.00580542 4997.38 2627.76 9971.32 60.3621 29.2684 11.9934 6.06872 15.2072 11.3504 9.97214e+06
0.000102498 0.000222405 3935.15 1674.92 71.4546 5.55566 0.00571331 4983.54 2602.13 9969.27 60.364 29.2776 11.9851 6.06457 15.236 11.3298 9.97392e+06
0.000104414 0.000177128 3934.02 1677.15 71.2839 5.53076 0.00577391 4971.02 2632.52 9968.16 60.3887 29.2262 11.9939 6.08505 15.2178 11.3803 9.97299e+06
0.000105546 0.000230418 3972.08 1687.81 71.3093 5.56663 0.00588652 4964.49 2639.89 9964.07 60.4904 29.2673 12.1326 6.28061 15.3459 11.2753 9.97616e+06
0.000102756 0.000430128 3917.25 1673.59 71.4537 5.60838 0.00613498 4976.09 2666.64 9963.35 60.5128 29.2074 12.1742 6.31789 15.3294 11.3131 9.97698e+06
0.000101296 0.000441075 3927.79 1660.29 71.4127 5.55821 0.00604966 4982.83 2668.27 9963.71 60.3892 29.115 12.0834 6.1873 15.1742 11.2162 9.97623e+06
0.000105617 0.000228392 3919.45 1666.24 71.3517 5.52079 0.00573223 4975.62 2698.18 9963.97 60.2554 29.1394 12.0981 6.20144 15.1177 11.3191 9.97485e+06
0.000107367 0.000126189 3950.72 1664.66 71.5175 5.67269 0.00563421 4965.24 2673.17 9965.86 60.174 29.1292 12.1285 6.19247 15.1835 11.2526 9.97568e+06
0.000104436 0.00031384 3958.38 1674.87 71.477 5.65803 0.00576642 4989.78 2642.24 9966.14 60.3343 28.935 12.1328 6.18669 15.186 11.4291 9.97153e+06
0.00010549 0.000121933 3944.22 1666.2 71.5047 5.62798 0.00563337 4995.94 2682.37 9966.44 60.4124 28.9499 12.1281 6.09451 15.0815 11.3293 9.97427e+06
0.0001074 0.000100985 3914.53 1654.01 71.484 5.56097 0.00562136 4956.54 2685.17 9966.2 60.2774 28.8786 12.1843 6.12422 15.039 11.3027 9.97662e+06
0.000107159 0.000103545 3948.1 1662.4 71.6003 5.66444 0.00566203 4957.8 2653.97 9968.14 60.5109 29.0253 12.2055 6.15517 15.066 11.3646 9.97342e+06
0.000108924 0.000206244 3928.16 1670.2 71.547 5.67608 0.00574472 4940.59 2622.14 9969.7 60.5152 29.1 12.242 6.17006 15.0862 11.5689 9.97043e+06
0.000106992 0.00016439 3955.61 1686.52 71.6853 5.90436 0.0057401 4953.35 2655.18 9971.91 60.632 28.7757 12.2472 6.16625 15.0726 11.5902 9.96725e+06
0.000109537 0.000264819 3968.7 1680.24 71.6461 5.81614 0.00585845 4976.37 2640.01 9970.27 60.6265 28.7281 12.1799 6.14193 15.0996 11.481 9.96752e+06
0.000104075 0.000181921 4044.15 1674.4 71.7136 5.84051 0.00579109 4955.64 2614.2 9970.95 60.6357 28.768 12.1226 6.06995 15.1898 11.3048 9.96903e+06
0.000103407 0.000104979 3990.23 1654.44 71.6675 5.78539 0.00572546 4966.35 2608.21 9968.58 60.7324 28.7155 12.1587 6.10473 15.2636 11.2283 9.97464e+06
0.000107098 0.000188856 3947.92 1647.67 71.6611 5.74556 0.0057718 4973.16 2613.07 9967.72 60.7695 28.698 12.1901 6.16929 15.2169 11.2368 9.97534e+06
0.000107892 0.000131938 3944.67 1646.66 71.54 5.68045 0.005629 4961.01 2597.33 9967.7 60.8098 28.5898 12.2104 6.12437 15.2705 11.4072 9.97366e+06
0.000109305 0.000120573 3951.82 1659.17 71.5533 5.64183 0.00557362 4966.82 2452.8 9968.36 60.9517 28.4059 12.2038 6.12789 15.2749 11.4073 9.97105e+06
0.000108432 0.000134553 3918.85 1629.46 71.3993 5.54083 0.00570554 4961.31 2451.61 9965.02 60.8644 28.5455 12.2515 6.10283 15.3107 11.2786 9.97983e+06
0.000110762 0.000446458 3868.3 1626.68 71.3865 5.4425 0.00603345 4951.52 2405.44 9965.19 60.8224 28.4392 12.2889 6.1061 15.315 11.4188 9.97787e+06
0.000106231 0.000440264 3848 1558 71.4584 5.42616 0.00627123 4961.74 2426.31 9959.15 60.5242 28.4203 12.372 6.19004 15.4811 10.8286 9.99558e+06
0.000108879 0.000184691 3906.46 1580 71.5153 5.46755 0.00598543 4995.66 2448.18 9961.52 60.551 28.357 12.3651 6.14576 15.4224 10.8781 9.99229e+06
0.000109402 0.000190416 3865.84 1570.33 71.5001 5.71183 0.0060792 4986.83 2496.54 9959.73 60.3832 28.4798 12.3836 6.20193 15.483 10.8642 9.996e+06
0.000107662 0.000192516 3848.01 1550.02 71.5585 5.69747 0.00616523 4999.33 2492.38 9958.01 60.4044 28.451 12.3932 6.23569 15.3771 10.6835 9.99924e+06
0.000108352 0.00029597 3840.28 1559.89 71.5504 5.64862 0.00625582 4984.58 2496.33 9959.74 60.3636 28.6473 12.3504 6.17881 15.2974 10.9547 9.99256e+06
0.000106389 0.000206472 3926.69 1573.7 71.731 5.7697 0.00619327 4963.08 2517.58 9963.03 60.2782 28.5395 12.3776 6.19939 15.3242 10.811 9.9919e+06
0.00011176 0.000239729 3934.99 1571.59 71.693 5.68193 0.00635224 4944.85 2504.49 9962.14 60.2368 28.4387 12.402 6.17458 15.3049 10.7413 9.99364e+06
0.000106374 0.000127065 3914.18 1546.84 71.6644 5.71294 0.00627357 4930.91 2534.67 9960.38 60.2036 28.5929 12.3061 6.09309 15.3006 10.5046 9.99947e+06
0.000110396 0.000260893 3922.39 1554.66 71.6532 5.68502 0.00652597 4941.91 2563.89 9959.54 60.3511 28.7948 12.3721 6.18507 15.298 10.5493 9.99841e+06
0.000107201 0.000319545 3890.3 1549.66 71.512 5.52804 0.00650065 4942.27 2615.58 9959.17 60.3968 28.6647 12.3405 6.14528 15.2581 10.6645 9.99733e+06
0.000105478 0.000213003 3901.54 1558.31 71.4486 5.52026 0.00641544 4945.85 2658.34 9959.29 60.3544 28.6803 12.3443 6.15797 15.2693 10.7779 9.99518e+06
0.000105758 0.000114931 3917.58 1555.49 71.3623 5.46259 0.00643303 4930.07 2626.68 9957.54 60.321 28.7631 12.378 6.3067 15.2645 10.6612 9.99619e+06
0.000106598 0.000133112 3894.97 1547.89 71.2692 5.47815 0.00639299 4917.09 2607.56 9958.16 60.3156 28.8361 12.3598 6.21612 15.2988 10.7929 9.99525e+06
0.000109544 0.000136908 3864.06 1535.04 71.1582 5.38597 0.00647171 4914.62 2648.1 9957.73 60.3985 28.7195 12.3161 6.20665 15.2228 10.8112 9.99542e+06
0.000110337 0.000341862 3882.74 1562.31 71.2188 5.54946 0.00690369 4934.17 2621.34 9957.05 60.4439 28.766 12.4023 6.32182 15.2314 10.9266 9.99147e+06
0.000109195 0.000434412 3907.75 1564.3 71.3086 5.55498 0.00694233 4935.34 2537.14 9958.37 60.458 28.785 12.3589 6.31391 15.2663 10.9225 9.98883e+06
0.000111876 0.000547658 3930.04 1572.25 71.3996 5.65712 0.00711036 4945.83 2540.08 9959.15 60.4655 28.8273 12.4046 6.39052 15.2582 11.0146 9.9858e+06
0.000110812 0.000462432 3996.01 1584.27 71.4457 5.59487 0.00711023 4944.49 2542.4 9961.15 60.5589 28.6268 12.4056 6.40469 15.2319 10.9534 9.9828e+06
0.000110605 0.000391472 3999.85 1580.71 71.4398 5.73936 0.00708229 4942.3 2578.35 9960.77 60.5948 28.6029 12.4229 6.38101 15.2071 10.9403 9.98337e+06
0.000107755 0.000504379 4000.03 1587.42 71.445 5.68669 0.00712579 4946.86 2586.46 9961.42 60.5563 28.4925 12.4151 6.38382 15.208 11.048 9.98065e+06
0.000108487 0.000295393 4010.8 1595.92 71.4118 5.63316 0.00692368 4964.94 2650.29 9960.16 60.6657 28.4652 12.4976 6.4294 15.2922 11.0536 9.98313e+06
0.000116884 0.00025537 4026.48 1601.69 71.4422 5.65165 0.00681985 4990.16 2685.51 9960.98 60.734 28.8507 12.4592 6.4114 15.2567 11.016 9.98233e+06
0.000108783 0.000128282 4004.45 1618.79 71.5533 5.75533 0.00664943 4985.31 2648.2 9962.56 60.6014 29.0092 12.5043 6.46854 15.2534 11.0728 9.98165e+06
0.000108129 0.000208348 4005.66 1610.99 71.6267 5.89942 0.00674948 4989.55 2699.97 9964.94 60.4542 28.977 12.4569 6.39311 15.2545 11.0699 9.98148e+06
0.000111138 0.000175515 4006.09 1610.77 71.5637 5.77583 0.00666865 4987.19 2662.58 9964.2 60.4388 28.7566 12.4333 6.34718 15.2867 11.0801 9.98186e+06
0.000111822 0.000119105 4000.89 1613.43 71.5774 5.85671 0.00662871 4959.86 2602.19 9964.12 60.4885 28.6155 12.4242 6.30007 15.2929 11.0573 9.98226e+06
0.000111309 0.00012243 4018.5 1615.83 71.6273 5.82868 0.0066681 4946.83 2547.44 9963.74 60.5448 28.6515 12.428 6.31824 15.3554 10.9552 9.98254e+06
